"city","state","county","id"
canton,oh,stark,778155
wylie,tx,collin,778863
dekalb,il,dekalb,779146
kuna,id,ada,779844
evanston,wy,uinta,781556
clay,al,jefferson,781981
paris,il,edgar,782688
greentown,oh,stark,786077
roaring spring,pa,blair,787917
espy,pa,columbia,790483
clinton,wa,island,792341
wagram,nc,scotland,793638
belmont,ny,allegany,794210
garden city,ut,rich,797379
sausal,nm,valencia,797811
moro,ar,lee,801743
valle,az,coconino,801873
de witt,il,de witt,803326
turtle lake,mt,lake,804779
avoca,mn,murray,805654
baker,mn,clay,807406
alanreed,tx,gray,807841
new york,ny,queens,778011
los angeles,ca,los angeles,778012
chicago,il,cook,778013
miami,fl,miami-dade,778014
houston,tx,harris,778015
dallas,tx,dallas,778016
philadelphia,pa,philadelphia,778017
atlanta,ga,fulton,778018
washington,dc,district of columbia,778019
boston,ma,suffolk,778020
phoenix,az,maricopa,778021
detroit,mi,wayne,778022
seattle,wa,king,778023
san francisco,ca,san francisco,778024
san diego,ca,san diego,778025
minneapolis,mn,hennepin,778026
tampa,fl,hillsborough,778027
brooklyn,ny,kings,778028
denver,co,denver,778029
queens,ny,queens,778030
riverside,ca,riverside,778031
las vegas,nv,clark,778032
baltimore,md,baltimore,778033
st. louis,mo,st. louis,778034
portland,or,multnomah,778035
san antonio,tx,bexar,778036
sacramento,ca,sacramento,778037
austin,tx,travis,778038
orlando,fl,orange,778039
san juan,pr,san juan,778040
san jose,ca,santa clara,778041
pittsburgh,pa,allegheny,778042
indianapolis,in,marion,778043
manhattan,ny,new york,778044
cincinnati,oh,hamilton,778045
kansas city,mo,jackson,778046
cleveland,oh,cuyahoga,778047
columbus,oh,franklin,778048
bronx,ny,bronx,778049
virginia beach,va,virginia beach,778050
charlotte,nc,mecklenburg,778051
milwaukee,wi,milwaukee,778052
providence,ri,providence,778053
jacksonville,fl,duval,778054
nashville,tn,davidson,778055
salt lake city,ut,salt lake,778056
raleigh,nc,wake,778057
richmond,va,richmond,778058
memphis,tn,shelby,778059
oklahoma city,ok,oklahoma,778060
hartford,ct,capitol,778061
louisville,ky,jefferson,778062
buffalo,ny,erie,778063
new orleans,la,orleans,778064
fort worth,tx,tarrant,778065
bridgeport,ct,greater bridgeport,778066
tucson,az,pima,778067
el paso,tx,el paso,778068
omaha,ne,douglas,778069
mcallen,tx,hidalgo,778070
birmingham,al,jefferson,778071
albuquerque,nm,bernalillo,778072
tulsa,ok,tulsa,778073
fresno,ca,fresno,778074
charleston,sc,charleston,778075
rochester,ny,monroe,778076
dayton,oh,montgomery,778077
cape coral,fl,lee,778078
mission viejo,ca,orange,778079
colorado springs,co,el paso,778080
baton rouge,la,east baton rouge,778081
allentown,pa,lehigh,778082
ogden,ut,weber,778083
provo,ut,utah,778084
knoxville,tn,knox,778085
grand rapids,mi,kent,778086
columbia,sc,richland,778087
albany,ny,albany,778088
bakersfield,ca,kern,778089
new haven,ct,south central connecticut,778090
des moines,ia,polk,778091
akron,oh,summit,778092
palm bay,fl,brevard,778093
concord,ca,contra costa,778094
wichita,ks,sedgwick,778095
mesa,az,maricopa,778096
harrisburg,pa,dauphin,778097
staten island,ny,richmond,778098
toledo,oh,lucas,778099
worcester,ma,worcester,778100
long beach,ca,los angeles,778101
port st. lucie,fl,st. lucie,778102
little rock,ar,pulaski,778103
reno,nv,washoe,778104
spokane,wa,spokane,778105
madison,wi,dane,778106
boise,id,ada,778107
bonita springs,fl,lee,778108
denton,tx,denton,778109
oakland,ca,alameda,778110
springfield,ma,hampden,778111
augusta,ga,richmond,778112
kissimmee,fl,osceola,778113
winston-salem,nc,forsyth,778114
stockton,ca,san joaquin,778115
syracuse,ny,onondaga,778116
chattanooga,tn,hamilton,778117
lancaster,pa,lancaster,778118
greenville,sc,greenville,778119
durham,nc,durham,778120
pensacola,fl,escambia,778121
fayetteville,ar,washington,778122
arlington,tx,tarrant,778123
aurora,co,arapahoe,778124
oxnard,ca,ventura,778125
indio,ca,riverside,778126
scranton,pa,lackawanna,778127
victorville,ca,san bernardino,778128
trenton,nj,mercer,778129
modesto,ca,stanislaus,778130
huntsville,al,madison,778131
honolulu,hi,honolulu,778132
greensboro,nc,guilford,778133
anaheim,ca,orange,778134
corpus christi,tx,nueces,778135
fort wayne,in,allen,778136
fort collins,co,larimer,778137
jackson,ms,hinds,778138
myrtle beach,sc,horry,778139
fayetteville,nc,cumberland,778140
antioch,ca,contra costa,778141
lansing,mi,ingham,778142
lexington,ky,fayette,778143
mobile,al,mobile,778144
youngstown,oh,mahoning,778145
henderson,nv,clark,778146
savannah,ga,chatham,778147
poughkeepsie,ny,dutchess,778148
santa ana,ca,orange,778149
ann arbor,mi,washtenaw,778150
st. paul,mn,ramsey,778151
newark,nj,essex,778152
irvine,ca,orange,778153
santa rosa,ca,sonoma,778154
asheville,nc,buncombe,778156
flint,mi,genesee,778157
winter haven,fl,polk,778158
anchorage,ak,anchorage,778159
lincoln,ne,lancaster,778160
concord,nc,cabarrus,778161
jersey city,nj,hudson,778162
springfield,mo,greene,778163
plano,tx,collin,778164
